code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
IRQ,イラク,Iraq,45074049,250842782139.0,12711.06167,572939016766.0,2023,2023,2023,435050.0,103.6065946,2023,81.7291,2022,71.336,2023,37.09139598,2022,1.900361184,2023,24.05,Baghdad,バグダッド,いらく
IRN,イラン,"Iran, Islamic Republic of",90608707,404625655205.0,15912.02992,1441768456653.0,2023,2023,2023,1745150.0,51.9202974,2023,79.6309,2022,74.556,2023,22.83878303,2022,6.641489492,2023,19.62,Tehran,テヘラン,いらん
IND,インド,India,1438069596,3567551674623.0,9160.063654,13172809037823.0,2023,2023,2023,3287260.0,437.4675554,2022,55.9,2022,67.744,2023,25.05706222,2022,24.44942974,2023,25.02,New Delhi,ニューデリー,いんど
IDN,インドネシア,Indonesia,281190067,1371171152331.0,13889.88288,3905697098371.0,2023,2023,2023,1916906.77,146.6894851,2023,69.2084,2022,68.25,2023,24.93463901,2022,48.04199007,2023,26.17,Jakarta,ジャカルタ,いんどねしあ
WLF,ウォリス・フツナ,Wallis and Futuna,11370,0.0,0.0,0.0,0,0,2023,0.0,0.0,2012,8.95,0,0.0,0,0.0,0,0.0,2023,27.56,Mata Utu,マタ・ウトゥ,うぉりす・ふつな
UGA,ウガンダ,Uganda,48656601,48768955863.0,2791.055769,135803286914.0,2023,2023,2023,241550.0,201.4349037,2023,15.2524,2022,63.638,2023,43.93806049,2022,11.24771145,2023,23.53,Kampala,カンパラ,うがんだ
UKR,ウクライナ,Ukraine,37732836,178757021965.0,14844.1224,560110836212.0,2023,2023,2023,603550.0,62.51816088,2023,82.3755,2022,68.58792683,2023,14.29553711,2022,16.74490853,2023,10.87,Kyiv,キエフ,うくらいな
UZB,ウズベキスタン,Uzbekistan,35652307,101591769702.0,10007.6855,356797075899.0,2023,2023,2023,448924.0,79.41724434,2023,89.0136,2022,71.674,2023,30.87106116,2022,8.49046413,2023,15.63,Tashkent,タシケント,うずべきすたん
URY,ウルグアイ,Uruguay,3388081,77240830877.0,31019.31139,105095939558.0,2023,2023,2023,176220.0,19.22642719,2023,89.896,2022,78.0,2023,18.68540314,2022,11.84436064,2023,18.92,Montevideo,モンテビデオ,うるぐあい
ECU,エクアドル,Ecuador,17980083,118844826000.0,14472.31651,260213451969.0,2023,2023,2023,256370.0,70.13333463,2024,77.1727,2022,77.894,2023,25.00468991,2022,49.80387341,2023,22.33,Quito,キト,えくあどる
